index_content,word,nature,content_type,index_word
48,包装,v,pos,0
48,打开,v,pos,1
48,东西,ns,pos,2
48,破,v,pos,3
48,省,n,pos,4
48,质量,n,pos,5
48,加热,v,pos,6
48,服务周到,i,pos,7
48,安装,v,pos,8
48,师傅,nr,pos,9
48,耐心,a,pos,10
48,货一到,l,pos,11
48,安装,v,pos,12
48,几天,m,pos,13
48,评价,n,pos,14
123,性价比,n,pos,0
123,孬,n,pos,1
123,赞赞,v,pos,2
182,安装,v,pos,0
182,配件,n,pos,1
182,低劣,a,pos,2
182,价格昂贵,i,pos,3
182,整改,v,pos,4
182,合作,vn,pos,5
182,方式,n,pos,6
244,没用,v,pos,0
244,评价,n,pos,1
258,价格,n,pos,0
258,贵,a,pos,1
258,贵,n,pos,2
258,还好,v,pos,3
336,家里,s,pos,0
336,坏,a,pos,1
336,新换的,l,pos,2
336,感觉,n,pos,3
336,东西,ns,pos,4
363,售后服务,l,pos,0
363,人员,n,pos,1
363,态度恶劣,n,pos,2
363,额外,b,pos,3
363,乱收费,n,pos,4
363,未,d,pos,5
363,安装,v,pos,6
363,短信,n,pos,7
363,显示,v,pos,8
363,安装,v,pos,9
363,垃圾,n,pos,10
363,失望,v,pos,11
363,失望,v,pos,12
363,失望,v,pos,13
377,师傅,nr,pos,0
377,耐心,a,pos,1
377,装,v,pos,2
377,很好,a,pos,3
377,暂时,d,pos,4
377,没用,v,pos,5
441,服务,vn,pos,0
441,没用,v,pos,1
441,过后,t,pos,2
441,评论,n,pos,3
451,产品,n,pos,0
451,带接,v,pos,1
451,水管,n,pos,2
451,第一次,m,pos,3
451,碰到,v,pos,4
451,套路,n,pos,5
451,加热,v,pos,6
451,慢,a,pos,7
451,旧,n,pos,8
451,拆卸,v,pos,9
451,费,v,pos,10
451,加收,v,pos,11
457,性价比,n,pos,0
457,安装,v,pos,1
457,师傅,nr,pos,2
457,服务态度,n,pos,3
457,花,v,pos,4
457,洋,ag,pos,5
457,随机,d,pos,6
457,配件,n,pos,7
457,质量,n,pos,8
457,差,a,pos,9
457,第一次,m,pos,10
457,热水管,n,pos,11
457,漏水,n,pos,12
457,第二次,m,pos,13
457,师傅,nr,pos,14
457,装好,v,pos,15
457,热水,n,pos,16
457,花洒,nr,pos,17
457,关不住,v,pos,18
457,流水,n,pos,19
457,漏水,n,pos,20
457,花,v,pos,21
457,洒,v,pos,22
457,水要,b,pos,23
457,流,n,pos,24
457,三五分钟,m,pos,25
457,流完,v,pos,26
457,水,n,pos,27
457,停,v,pos,28
457,块,zg,pos,29
457,不值,n,pos,30
457,建议,n,pos,31
457,配件,n,pos,32
457,配套,a,pos,33
457,配件,n,pos,34
457,不错,a,pos,35
457,失望,v,pos,36
457,配件,n,pos,37
457,差,a,pos,38
457,评,n,pos,39
470,主机,b,pos,0
470,遥控,vn,pos,1
470,开关,v,pos,2
470,花酒,n,pos,3
470,安装,v,pos,4
470,态度,n,pos,5
470,差,a,pos,6
470,骂,v,pos,7
512,安装,v,pos,0
512,回头,v,pos,1
512,图,n,pos,2
519,本次,r,pos,0
519,选购,v,pos,1
519,电,n,pos,2
519,热水,n,pos,3
519,嚣,l,pos,4
519,原,n,pos,5
519,海尔,nrt,pos,6
519,内胆,n,pos,7
519,漏水,n,pos,8
519,更换,v,pos,9
519,晚上,t,pos,10
519,点,m,pos,11
519,下单,n,pos,12
519,第三天,m,pos,13
519,中午,t,pos,14
519,送到,v,pos,15
519,安装工,n,pos,16
519,小时,n,pos,17
519,测试,vn,pos,18
519,希望,v,pos,19
519,换购,v,pos,20
519,产品质量,n,pos,21
519,胜过,v,pos,22
519,原,n,pos,23
519,海尔,nrt,pos,24
519,产品,n,pos,25
519,至少,d,pos,26
519,年内,t,pos,27
519,内胆,n,pos,28
519,漏水,n,pos,29
519,希望,v,pos,30
519,产,v,pos,31
519,不负重望,l,pos,32
673,支付,v,pos,0
673,耗材,n,pos,1
673,费用,n,pos,2
673,售后,n,pos,3
673,费用,n,pos,4
673,东西,ns,pos,5
673,卖,v,pos,6
673,带管,v,pos,7
673,瞬间,t,pos,8
673,感觉,n,pos,9
673,失望,v,pos,10
673,购物,n,pos,11
749,安装,v,pos,0
749,懒得,v,pos,1
749,安装,v,pos,2
749,师傅,nr,pos,3
749,挂上去,v,pos,4
749,原先,d,pos,5
749,钉孔,n,pos,6
749,挂上去,v,pos,7
774,真的,d,pos,0
774,日,m,pos,1
774,收到,v,pos,2
774,货日,n,pos,3
774,安装,v,pos,4
774,师傅,nr,pos,5
774,安装,v,pos,6
774,老式,n,pos,7
774,楼墙,n,pos,8
774,石膏板,n,pos,9
774,超重,v,pos,10
774,安装,v,pos,11
774,自已,d,pos,12
774,先照,n,pos,13
774,尺寸,n,pos,14
774,做,v,pos,15
774,架子,n,pos,16
774,师傳,nr,pos,17
774,安装,v,pos,18
774,已用,v,pos,19
774,几天,m,pos,20
774,真的,d,pos,21
774,太好了,l,pos,22
774,时侯,n,pos,23
774,洗澡,v,pos,24
774,都行,n,pos,25
774,价格,n,pos,26
774,不贵,a,pos,27
774,希望,v,pos,28
774,想买,v,pos,29
774,朋友,n,pos,30
774,放心,v,pos,31
774,购买,v,pos,32
805,快递,v,pos,0
805,小哥,n,pos,1
805,很棒,a,pos,2
805,第二次,m,pos,3
805,送货,v,pos,4
805,没用,v,pos,5
805,几天,m,pos,6
805,试试看,v,pos,7
894,品牌,n,pos,0
894,终于,d,pos,1
894,热水,n,pos,2
894,洗澡,v,pos,3
894,家里,s,pos,4
894,坏,a,pos,5
894,很久,m,pos,6
894,品牌,n,pos,7
895,不好意思,a,pos,0
895,评价,n,pos,1
895,字,n,pos,2
897,设定,v,pos,0
897,温度,n,pos,1
897,差,a,pos,2
897,温度,n,pos,3
897,商家,n,pos,4
897,安装,v,pos,5
897,装,v,pos,6
897,洗脸盆,l,pos,7
897,师傅,nr,pos,8
897,装,v,pos,9
927,打开,v,pos,0
927,自营,vn,pos,1
927,失望,v,pos,2
934,材料费,n,pos,0
934,太贵,nr,pos,1
934,二百多,m,pos,2
934,挂羊头,n,pos,3
934,没用,v,pos,4
934,花,v,pos,5
934,洒,v,pos,6
934,滳,zg,pos,7
934,水,n,pos,8
934,客服,n,pos,9
947,安装,v,pos,0
947,师傅,nr,pos,1
947,铁管,n,pos,2
947,非要,b,pos,3
947,带来,v,pos,4
947,塑料管,n,pos,5
947,加,v,pos,6
947,两个,m,pos,7
947,小小的,z,pos,8
947,铁架子,n,pos,9
947,安装,v,pos,10
947,总共,b,pos,11
947,花,v,pos,12
947,视频,n,pos,13
947,铁管,n,pos,14
947,安装,v,pos,15
947,师傅,nr,pos,16
947,坑,n,pos,17
961,质量,n,pos,0
961,泄,vg,pos,1
961,压阀,n,pos,2
961,漏水,n,pos,3
961,问,n,pos,4
961,售后服务,l,pos,5
961,水压,n,pos,6
961,要装,v,pos,7
961,减压阀,n,pos,8
961,五金店,nz,pos,9
961,里,f,pos,10
961,泄,vg,pos,11
961,压阀,n,pos,12
961,漏水,n,pos,13
961,评价,n,pos,14
984,装,v,pos,0
984,没用,v,pos,1
984,安装费,n,pos,2
984,收,v,pos,3
984,查,v,pos,4
984,清单,a,pos,5
984,材料,n,pos,6
984,价格,n,pos,7
984,原以为,nr,pos,8
984,以内,f,pos,9
1002,安装,v,neg,0
1002,师傅,nr,neg,1
1002,太,d,neg,2
1002,死,v,neg,3
1002,脑袋,n,neg,4
1002,太石,n,neg,5
1002,脑瓜子,n,neg,6
1002,我家,r,neg,7
1002,安装,v,neg,8
1002,厨房,n,neg,9
1002,里,f,neg,10
1002,不行,v,neg,11
1002,装,n,neg,12
1002,非,d,neg,13
1002,装,v,neg,14
1002,卫生间,n,neg,15
1002,家装,n,neg,16
1002,装,v,neg,17
1002,厨房,n,neg,18
1002,卫生间,n,neg,19
1002,装,v,neg,20
1002,厨房,n,neg,21
1002,安装,v,neg,22
1002,装,v,neg,23
1002,卫生间,n,neg,24
1002,里,f,neg,25
1002,气死我了,l,neg,26
1002,没装,v,neg,27
1002,安装,v,neg,28
1002,怎么回事,l,neg,29
1002,不想,v,neg,30
1002,太,d,neg,31
1002,过格,ad,neg,32
1002,服务态度,n,neg,33
1002,太不像话,l,neg,34
1002,走,v,neg,35
1002,没给,v,neg,36
1002,安装,v,neg,37
1002,请问,v,neg,38
1002,客服,n,neg,39
1003,本来,t,neg,0
1003,一颗,m,neg,1
1003,星,n,neg,2
1003,不想,v,neg,3
1003,无奈,d,neg,4
1003,点,m,neg,5
