index_content,word,nature,content_type,index_word
2,名副其实,i,pos,0
2,品牌,n,pos,1
2,售后,n,pos,2
2,客服,n,pos,3
2,服务,vn,pos,4
2,到位,v,pos,5
2,提前,v,pos,6
2,抢,v,pos,7
2,电器,n,pos,8
2,预备,v,pos,9
2,新房子,n,pos,10
2,安装,v,pos,11
2,收货,n,pos,12
2,地址,n,pos,13
2,安装,v,pos,14
2,地址,n,pos,15
2,打电话,l,pos,16
2,预约,v,pos,17
2,安装,v,pos,18
2,顺利,ad,pos,19
2,安装,v,pos,20
2,师傅,nr,pos,21
2,专业,n,pos,22
2,服务态度,n,pos,23
2,主动,b,pos,24
2,客户,n,pos,25
2,安装,v,pos,26
2,过程,n,pos,27
2,顺利,ad,pos,28
2,作业,n,pos,29
2,效率,n,pos,30
2,杠杠,n,pos,31
2,选择,v,pos,32
2,省心,n,pos,33
3,安,v,pos,0
3,两天,m,pos,1
3,评价,n,pos,2
3,安装,v,pos,3
3,师傅,nr,pos,4
3,不错,a,pos,5
3,安,v,pos,6
3,满意,v,pos,7
3,购物,n,pos,8
4,网购,n,pos,0
4,始终,d,pos,1
4,信赖,n,pos,2
4,发货,n,pos,3
4,服务,vn,pos,4
4,物流,n,pos,5
4,即时,c,pos,6
4,始终,d,pos,7
4,信赖,n,pos,8
4,国货,n,pos,9
4,家用电器,n,pos,10
4,喜欢,v,pos,11
4,牌,n,pos,12
4,微波炉,n,pos,13
4,电磁炉,n,pos,14
4,饮水机,n,pos,15
4,家里,s,pos,16
4,好多,m,pos,17
4,牌,n,pos,18
4,良心,a,pos,19
4,企业,n,pos,20
4,样式,n,pos,21
4,美观,nz,pos,22
4,结构合理,n,pos,23
4,热,a,pos,24
4,速度,n,pos,25
5,机器,n,pos,0
5,棒棒,n,pos,1
5,哒,zg,pos,2
5,双层,n,pos,3
5,包装,v,pos,4
5,外包装,n,pos,5
5,损坏,v,pos,6
5,外观,n,pos,7
5,简洁,a,pos,8
5,大方,n,pos,9
5,水,n,pos,10
5,加热,v,pos,11
5,保温,n,pos,12
5,易,a,pos,13
5,操作,v,pos,14
5,配有,v,pos,15
5,摇控器,nz,pos,16
5,实用,v,pos,17
5,外观,n,pos,18
5,漂亮,a,pos,19
5,节能,v,pos,20
5,设计,vn,pos,21
5,操作性,n,pos,22
5,强,a,pos,23
5,功能,n,pos,24
5,实用,v,pos,25
5,发现,v,pos,26
5,缺点,n,pos,27
5,的的,u,pos,28
5,容量,n,pos,29
5,可用,v,pos,30
5,操作,v,pos,31
5,简单,a,pos,32
5,外观,n,pos,33
5,漂亮,a,pos,34
5,安装,v,pos,35
5,服务,vn,pos,36
5,完善,v,pos,37
5,安装,v,pos,38
5,配件,n,pos,39
5,齐全,nr,pos,40
5,存储容量,n,pos,41
5,够,zg,pos,42
5,一家,m,pos,43
6,下单,n,pos,0
6,打电话,l,pos,1
6,服务态度,n,pos,2
6,快递,v,pos,3
6,发货,n,pos,4
6,送货,v,pos,5
6,第二天,m,pos,6
6,中午,t,pos,7
6,送到,v,pos,8
6,安装,v,pos,9
6,师傅,nr,pos,10
6,干活,a,pos,11
6,麻利,nr,pos,12
6,服务,vn,pos,13
6,品牌,n,pos,14
6,值得,v,pos,15
6,拥有,v,pos,16
7,品牌,n,pos,0
7,商品,n,pos,1
7,不错,a,pos,2
7,外观,n,pos,3
7,线条,n,pos,4
7,简约,d,pos,5
7,时尚,n,pos,6
7,美观,nz,pos,7
7,外形,n,pos,8
7,设计,vn,pos,9
7,面板,n,pos,10
7,工艺,n,pos,11
7,镀锌,n,pos,12
7,基板,n,pos,13
7,表面,n,pos,14
7,覆膜,n,pos,15
7,超薄,a,pos,16
7,外型,b,pos,17
7,美观,nz,pos,18
7,时尚,n,pos,19
7,高效,a,pos,20
7,水箱,n,pos,21
7,设计,vn,pos,22
7,省,n,pos,23
